"gene","HR","p"
"NKAIN4",1.73878566810654,2.54563162232248e-05
"PRG4",1.31547986255266,0.000129662437551069
"SYPL2",1.71165190534374,0.00019403219368897
"SUSD5",1.54392026068234,0.000320007961652392
"MIR9-3HG",2.94753213354069,0.000346226936599106
"SIX4",1.48912916227333,0.000462499769037104
"CLDN11",1.3957005964695,0.000473294934199438
"IGLON5",1.64650127127821,0.000649479354186254
"ADGRD1",1.54421117136143,0.000730317373215411
"LRRC4C",1.96793454259238,0.0007800604801785
"EXOC3L4",1.40049499729645,0.000837068468095177
"PRELP",1.16142900123401,0.00108856617440146
"PLXNB3",1.3153302422259,0.00129912914223599
"RYR2",1.41520544492784,0.00209460153297589
"ACTC1",1.28581826781268,0.00214558327992049
"INHBB",1.17459279141483,0.00217036838852783
"H19",1.11197406290305,0.00224361256076118
"C8G",1.20604423162421,0.0024619062239995
"WNT5A",0.79425164537456,0.00270004894777959
"PNMA8B",1.75939835868942,0.00280073836746941
"PCDHB2",1.44984622030749,0.00289687108721408
"HEYL",1.31791893594929,0.00317523620925454
"SPATA12",0.66375718885799,0.00326939753965967
"LRRN4",1.53362179413918,0.00328941031134631
"LAMA2",1.24757376310017,0.00334195450349903
"TSPEAR",1.31030610689596,0.00359456632048157
"DTNA",1.31371320976058,0.00367683660190943
"LINC00702",1.57165033168927,0.0036793870810061
"SHANK1",1.92671947710062,0.00394681150144872
"S1PR3",1.34380419379349,0.00423474571112949
"XG",1.31423696681493,0.00434941278822951
"PCDHB5",1.55230699499287,0.00441183757729836
"AC093849.2",1.33680989247484,0.00446342522602109
"XCL1",1.30077941319846,0.00469601549016619
"MYH16",1.71081901412264,0.00476387267451222
"CSDC2",1.2782753320431,0.00485829859511521
"SFRP2",1.09195633539587,0.00633072621760049
"PTGIS",1.16652064576586,0.00646679051286537
"HBA2",1.14827462384306,0.0074663079862824
"SPEG",1.22883993264433,0.00752879524028147
"RTL8B",1.26188445572195,0.00760304208927329
"FGF12",1.87908332649869,0.00764440659547849
"TNS1",1.14931835583662,0.00805385491010568
"KCTD16",0.393843872157915,0.00868156714739302
